@0001	 	a0
@0002	 	c2
@0003	 	df
@0004	 	f4
@0005	 	fe
@0006	 	ff
@0007	 	f7
@0008	 	ed
@0009	 	e2
@000a	 	da
@000b	 	d5
@000c	 	d4
@000d	 	d5
@000e	 	d6
@000f	 	d6
@0010	 	d3
@0011	 	cf
@0012	 	ca
@0013	 	c5
@0014	 	c3
@0015	 	c3
@0016	 	c6
@0017	 	cb
@0018	 	d1
@0019	 	d7
@001a	 	da
@001b	 	dd
@001c	 	dc
@001d	 	db
@001e	 	d8
@001f	 	d4
@0020	 	cf
@0021	 	cb
@0022	 	c7
@0023	 	c4
@0024	 	c1
@0025	 	bf
@0026	 	bc
@0027	 	b8
@0028	 	b3
@0029	 	ab
@002a	 	a2
@002b	 	97
@002c	 	8d
@002d	 	85
@002e	 	82
@002f	 	84
@0030	 	8b
@0031	 	97
@0032	 	a5
@0033	 	b3
@0034	 	be
@0035	 	c5
@0036	 	c6
@0037	 	c2
@0038	 	bb
@0039	 	b3
@003a	 	ab
@003b	 	a6
@003c	 	a2
@003d	 	9f
@003e	 	9b
@003f	 	95
@0040	 	8f
@0041	 	87
@0042	 	7f
@0043	 	7a
@0044	 	7a
@0045	 	80
@0046	 	8a
@0047	 	97
@0048	 	a6
@0049	 	b3
@004a	 	bb
@004b	 	be
@004c	 	bb
@004d	 	b4
@004e	 	aa
@004f	 	a0
@0050	 	96
@0051	 	8e
@0052	 	88
@0053	 	85
@0054	 	82
@0055	 	7f
@0056	 	7c
@0057	 	79
@0058	 	76
@0059	 	71
@005a	 	6d
@005b	 	69
@005c	 	66
@005d	 	63
@005e	 	63
@005f	 	64
@0060	 	68
@0061	 	6e
@0062	 	73
@0063	 	79
@0064	 	7c
@0065	 	7d
@0066	 	7b
@0067	 	77
@0068	 	72
@0069	 	6d
@006a	 	6a
@006b	 	6a
@006c	 	6a
@006d	 	6b
@006e	 	6b
@006f	 	67
@0070	 	5f
@0071	 	55
@0072	 	4a
@0073	 	42
@0074	 	41
@0075	 	49
@0076	 	5c
@0077	 	78
@0078	 	99
