@0001	 	a0
@0002	 	c4
@0003	 	e2
@0004	 	f6
@0005	 	ff
@0006	 	fd
@0007	 	f6
@0008	 	ec
@0009	 	e3
@000a	 	de
@000b	 	dc
@000c	 	dd
@000d	 	dd
@000e	 	db
@000f	 	d8
@0010	 	d4
@0011	 	d0
@0012	 	cf
@0013	 	cf
@0014	 	d1
@0015	 	d5
@0016	 	d9
@0017	 	db
@0018	 	dc
@0019	 	db
@001a	 	d7
@001b	 	d3
@001c	 	ce
@001d	 	c9
@001e	 	c5
@001f	 	c1
@0020	 	bf
@0021	 	bd
@0022	 	ba
@0023	 	b6
@0024	 	b0
@0025	 	a7
@0026	 	9d
@0027	 	92
@0028	 	89
@0029	 	85
@002a	 	86
@002b	 	8d
@002c	 	98
@002d	 	a6
@002e	 	b3
@002f	 	bd
@0030	 	c1
@0031	 	c0
@0032	 	ba
@0033	 	b4
@0034	 	ad
@0035	 	a6
@0036	 	a1
@0037	 	9c
@0038	 	96
@0039	 	8f
@003a	 	88
@003b	 	82
@003c	 	81
@003d	 	84
@003e	 	8c
@003f	 	98
@0040	 	a6
@0041	 	b3
@0042	 	bb
@0043	 	bd
@0044	 	b9
@0045	 	b1
@0046	 	a7
@0047	 	9c
@0048	 	93
@0049	 	8c
@004a	 	88
@004b	 	85
@004c	 	82
@004d	 	80
@004e	 	7d
@004f	 	79
@0050	 	74
@0051	 	6f
@0052	 	6b
@0053	 	67
@0054	 	65
@0055	 	65
@0056	 	68
@0057	 	6b
@0058	 	6f
@0059	 	72
@005a	 	73
@005b	 	71
@005c	 	6e
@005d	 	6a
@005e	 	66
@005f	 	64
@0060	 	64
@0061	 	65
@0062	 	63
@0063	 	5f
@0064	 	57
@0065	 	4d
@0066	 	45
@0067	 	42
@0068	 	49
@0069	 	5b
@006a	 	77
@006b	 	9a
