@0001	 	a3
@0002	 	b7
@0003	 	ca
@0004	 	db
@0005	 	e8
@0006	 	f3
@0007	 	fa
@0008	 	fe
@0009	 	ff
@000a	 	fc
@000b	 	f8
@000c	 	f3
@000d	 	ed
@000e	 	e7
@000f	 	e2
@0010	 	de
@0011	 	dc
@0012	 	db
@0013	 	db
@0014	 	dc
@0015	 	dd
@0016	 	df
@0017	 	e0
@0018	 	e1
@0019	 	e1
@001a	 	e1
@001b	 	df
@001c	 	de
@001d	 	dc
@001e	 	d9
@001f	 	d8
@0020	 	d7
@0021	 	d7
@0022	 	d7
@0023	 	d8
@0024	 	da
@0025	 	dc
@0026	 	df
@0027	 	e1
@0028	 	e4
@0029	 	e6
@002a	 	e7
@002b	 	e8
@002c	 	e8
@002d	 	e7
@002e	 	e6
@002f	 	e4
@0030	 	e2
@0031	 	e0
@0032	 	de
@0033	 	db
@0034	 	d9
@0035	 	d7
@0036	 	d5
@0037	 	d4
@0038	 	d3
@0039	 	d2
@003a	 	d1
@003b	 	d1
@003c	 	d0
@003d	 	d0
@003e	 	cf
@003f	 	cf
@0040	 	ce
@0041	 	cc
@0042	 	ca
@0043	 	c7
@0044	 	c3
@0045	 	be
@0046	 	b8
@0047	 	b2
@0048	 	ac
@0049	 	a5
@004a	 	a0
@004b	 	9b
@004c	 	97
@004d	 	95
@004e	 	95
@004f	 	97
@0050	 	9b
@0051	 	a0
@0052	 	a7
@0053	 	ae
@0054	 	b5
@0055	 	bd
@0056	 	c3
@0057	 	c8
@0058	 	cb
@0059	 	cc
@005a	 	cc
@005b	 	ca
@005c	 	c7
@005d	 	c2
@005e	 	be
@005f	 	b9
@0060	 	b4
@0061	 	b0
@0062	 	ac
@0063	 	a9
@0064	 	a6
@0065	 	a4
@0066	 	a1
@0067	 	9f
@0068	 	9c
@0069	 	98
@006a	 	94
@006b	 	8f
@006c	 	8b
@006d	 	86
@006e	 	81
@006f	 	7e
@0070	 	7b
@0071	 	7b
@0072	 	7c
@0073	 	7f
@0074	 	83
@0075	 	89
@0076	 	90
@0077	 	97
@0078	 	9f
@0079	 	a5
@007a	 	ab
@007b	 	af
@007c	 	b1
@007d	 	b2
@007e	 	b0
@007f	 	ad
@0080	 	a9
@0081	 	a3
@0082	 	9d
@0083	 	96
@0084	 	90
@0085	 	8a
@0086	 	85
@0087	 	81
@0088	 	7e
@0089	 	7b
@008a	 	79
@008b	 	78
@008c	 	78
@008d	 	77
@008e	 	77
@008f	 	76
@0090	 	76
@0091	 	75
@0092	 	74
@0093	 	73
@0094	 	72
@0095	 	70
@0096	 	6e
@0097	 	6c
@0098	 	6a
@0099	 	68
@009a	 	65
@009b	 	63
@009c	 	61
@009d	 	60
@009e	 	5f
@009f	 	5f
@00a0	 	60
@00a1	 	61
@00a2	 	63
@00a3	 	65
@00a4	 	67
@00a5	 	6a
@00a6	 	6c
@00a7	 	6e
@00a8	 	70
@00a9	 	70
@00aa	 	70
@00ab	 	6f
@00ac	 	6e
@00ad	 	6c
@00ae	 	6a
@00af	 	68
@00b0	 	67
@00b1	 	66
@00b2	 	66
@00b3	 	67
@00b4	 	68
@00b5	 	69
@00b6	 	6b
@00b7	 	6c
@00b8	 	6c
@00b9	 	6b
@00ba	 	69
@00bb	 	66
@00bc	 	61
@00bd	 	5c
@00be	 	55
@00bf	 	50
@00c0	 	4b
@00c1	 	48
@00c2	 	48
@00c3	 	4b
@00c4	 	52
@00c5	 	5c
@00c6	 	69
@00c7	 	79
@00c8	 	8b
@00c9	 	9f
