@0001	 	a0
@0002	 	b4
@0003	 	c8
@0004	 	d9
@0005	 	e8
@0006	 	f3
@0007	 	fa
@0008	 	fe
@0009	 	ff
@000a	 	fc
@000b	 	f7
@000c	 	f1
@000d	 	eb
@000e	 	e4
@000f	 	de
@0010	 	da
@0011	 	d6
@0012	 	d4
@0013	 	d4
@0014	 	d4
@0015	 	d4
@0016	 	d5
@0017	 	d6
@0018	 	d6
@0019	 	d5
@001a	 	d3
@001b	 	d1
@001c	 	ce
@001d	 	cb
@001e	 	c8
@001f	 	c5
@0020	 	c3
@0021	 	c2
@0022	 	c2
@0023	 	c3
@0024	 	c5
@0025	 	c8
@0026	 	cb
@0027	 	ce
@0028	 	d2
@0029	 	d5
@002a	 	d8
@002b	 	da
@002c	 	db
@002d	 	dc
@002e	 	dc
@002f	 	db
@0030	 	da
@0031	 	d8
@0032	 	d6
@0033	 	d4
@0034	 	d1
@0035	 	cf
@0036	 	cc
@0037	 	ca
@0038	 	c8
@0039	 	c6
@003a	 	c4
@003b	 	c2
@003c	 	c0
@003d	 	bf
@003e	 	bd
@003f	 	bc
@0040	 	ba
@0041	 	b7
@0042	 	b4
@0043	 	b1
@0044	 	ac
@0045	 	a7
@0046	 	a1
@0047	 	9b
@0048	 	95
@0049	 	8f
@004a	 	89
@004b	 	85
@004c	 	82
@004d	 	81
@004e	 	82
@004f	 	86
@0050	 	8a
@0051	 	91
@0052	 	99
@0053	 	a1
@0054	 	aa
@0055	 	b2
@0056	 	b9
@0057	 	bf
@0058	 	c3
@0059	 	c5
@005a	 	c5
@005b	 	c4
@005c	 	c1
@005d	 	bc
@005e	 	b8
@005f	 	b3
@0060	 	ae
@0061	 	aa
@0062	 	a7
@0063	 	a4
@0064	 	a2
@0065	 	a0
@0066	 	9e
@0067	 	9c
@0068	 	99
@0069	 	96
@006a	 	92
@006b	 	8e
@006c	 	89
@006d	 	85
@006e	 	80
@006f	 	7c
@0070	 	7a
@0071	 	79
@0072	 	7b
@0073	 	7e
@0074	 	83
@0075	 	89
@0076	 	91
@0077	 	9a
@0078	 	a3
@0079	 	ab
@007a	 	b2
@007b	 	b7
@007c	 	bb
@007d	 	bd
@007e	 	bd
@007f	 	bb
@0080	 	b7
@0081	 	b3
@0082	 	ad
@0083	 	a7
@0084	 	a0
@0085	 	9a
@0086	 	95
@0087	 	90
@0088	 	8c
@0089	 	89
@008a	 	86
@008b	 	84
@008c	 	82
@008d	 	81
@008e	 	7f
@008f	 	7e
@0090	 	7c
@0091	 	7a
@0092	 	78
@0093	 	76
@0094	 	74
@0095	 	71
@0096	 	6e
@0097	 	6c
@0098	 	69
@0099	 	67
@009a	 	65
@009b	 	64
@009c	 	63
@009d	 	63
@009e	 	63
@009f	 	64
@00a0	 	66
@00a1	 	69
@00a2	 	6c
@00a3	 	6f
@00a4	 	73
@00a5	 	76
@00a6	 	79
@00a7	 	7b
@00a8	 	7c
@00a9	 	7d
@00aa	 	7c
@00ab	 	7a
@00ac	 	78
@00ad	 	75
@00ae	 	72
@00af	 	6f
@00b0	 	6d
@00b1	 	6b
@00b2	 	6a
@00b3	 	69
@00b4	 	69
@00b5	 	6a
@00b6	 	6b
@00b7	 	6b
@00b8	 	6b
@00b9	 	69
@00ba	 	67
@00bb	 	63
@00bc	 	5d
@00bd	 	57
@00be	 	50
@00bf	 	4a
@00c0	 	45
@00c1	 	41
@00c2	 	40
@00c3	 	43
@00c4	 	49
@00c5	 	52
@00c6	 	5f
@00c7	 	70
@00c8	 	82
@00c9	 	96
