@0001	 	a3
@0002	 	bb
@0003	 	d1
@0004	 	e3
@0005	 	f1
@0006	 	fb
@0007	 	ff
@0008	 	fe
@0009	 	fa
@000a	 	f4
@000b	 	ed
@000c	 	e6
@000d	 	e1
@000e	 	dd
@000f	 	dc
@0010	 	dd
@0011	 	df
@0012	 	e2
@0013	 	e4
@0014	 	e6
@0015	 	e7
@0016	 	e6
@0017	 	e3
@0018	 	e0
@0019	 	dc
@001a	 	d8
@001b	 	d4
@001c	 	d2
@001d	 	d1
@001e	 	d2
@001f	 	d5
@0020	 	d8
@0021	 	dc
@0022	 	e0
@0023	 	e4
@0024	 	e7
@0025	 	e9
@0026	 	e9
@0027	 	e8
@0028	 	e6
@0029	 	e3
@002a	 	df
@002b	 	da
@002c	 	d6
@002d	 	d2
@002e	 	ce
@002f	 	cc
@0030	 	ca
@0031	 	c9
@0032	 	c9
@0033	 	ca
@0034	 	cb
@0035	 	cb
@0036	 	cb
@0037	 	ca
@0038	 	c7
@0039	 	c2
@003a	 	bd
@003b	 	b5
@003c	 	ad
@003d	 	a4
@003e	 	9c
@003f	 	96
@0040	 	92
@0041	 	91
@0042	 	92
@0043	 	97
@0044	 	9e
@0045	 	a6
@0046	 	b0
@0047	 	b9
@0048	 	c1
@0049	 	c6
@004a	 	c9
@004b	 	c9
@004c	 	c7
@004d	 	c2
@004e	 	bd
@004f	 	b6
@0050	 	b0
@0051	 	ab
@0052	 	a7
@0053	 	a5
@0054	 	a4
@0055	 	a3
@0056	 	a3
@0057	 	a2
@0058	 	a0
@0059	 	9d
@005a	 	98
@005b	 	92
@005c	 	8c
@005d	 	86
@005e	 	80
@005f	 	7e
@0060	 	7e
@0061	 	80
@0062	 	85
@0063	 	8c
@0064	 	95
@0065	 	9f
@0066	 	a8
@0067	 	af
@0068	 	b4
@0069	 	b6
@006a	 	b5
@006b	 	b2
@006c	 	ac
@006d	 	a4
@006e	 	9c
@006f	 	93
@0070	 	8c
@0071	 	85
@0072	 	80
@0073	 	7d
@0074	 	7c
@0075	 	7b
@0076	 	7c
@0077	 	7d
@0078	 	7d
@0079	 	7e
@007a	 	7d
@007b	 	7c
@007c	 	79
@007d	 	76
@007e	 	72
@007f	 	6e
@0080	 	69
@0081	 	65
@0082	 	61
@0083	 	5f
@0084	 	5e
@0085	 	5e
@0086	 	5f
@0087	 	62
@0088	 	66
@0089	 	6a
@008a	 	6e
@008b	 	72
@008c	 	74
@008d	 	75
@008e	 	75
@008f	 	73
@0090	 	70
@0091	 	6c
@0092	 	68
@0093	 	64
@0094	 	61
@0095	 	60
@0096	 	61
@0097	 	62
@0098	 	65
@0099	 	68
@009a	 	6a
@009b	 	6b
@009c	 	6a
@009d	 	67
@009e	 	62
@009f	 	5b
@00a0	 	54
@00a1	 	4e
@00a2	 	49
@00a3	 	48
@00a4	 	4b
@00a5	 	53
@00a6	 	61
@00a7	 	72
@00a8	 	88
@00a9	 	9f
