@0001	 	a1
@0002	 	bd
@0003	 	d7
@0004	 	eb
@0005	 	f8
@0006	 	ff
@0007	 	ff
@0008	 	fa
@0009	 	f2
@000a	 	eb
@000b	 	e4
@000c	 	e0
@000d	 	de
@000e	 	dd
@000f	 	dd
@0010	 	dd
@0011	 	dc
@0012	 	db
@0013	 	d8
@0014	 	d4
@0015	 	d1
@0016	 	cf
@0017	 	cf
@0018	 	cf
@0019	 	d1
@001a	 	d5
@001b	 	d8
@001c	 	db
@001d	 	dc
@001e	 	dc
@001f	 	db
@0020	 	d9
@0021	 	d6
@0022	 	d2
@0023	 	ce
@0024	 	ca
@0025	 	c7
@0026	 	c4
@0027	 	c1
@0028	 	bf
@0029	 	be
@002a	 	bc
@002b	 	b9
@002c	 	b6
@002d	 	b0
@002e	 	aa
@002f	 	a2
@0030	 	99
@0031	 	91
@0032	 	8a
@0033	 	86
@0034	 	84
@0035	 	87
@0036	 	8e
@0037	 	97
@0038	 	a1
@0039	 	ac
@003a	 	b6
@003b	 	bd
@003c	 	c1
@003d	 	c1
@003e	 	be
@003f	 	b9
@0040	 	b4
@0041	 	ae
@0042	 	a9
@0043	 	a4
@0044	 	a0
@0045	 	9c
@0046	 	98
@0047	 	92
@0048	 	8d
@0049	 	87
@004a	 	83
@004b	 	81
@004c	 	82
@004d	 	86
@004e	 	8d
@004f	 	97
@0050	 	a3
@0051	 	ad
@0052	 	b6
@0053	 	bb
@0054	 	bd
@0055	 	bb
@0056	 	b6
@0057	 	af
@0058	 	a6
@0059	 	9e
@005a	 	96
@005b	 	90
@005c	 	8b
@005d	 	88
@005e	 	86
@005f	 	84
@0060	 	82
@0061	 	80
@0062	 	7d
@0063	 	7a
@0064	 	77
@0065	 	73
@0066	 	6f
@0067	 	6b
@0068	 	68
@0069	 	66
@006a	 	65
@006b	 	66
@006c	 	68
@006d	 	6a
@006e	 	6e
@006f	 	71
@0070	 	73
@0071	 	73
@0072	 	72
@0073	 	70
@0074	 	6d
@0075	 	69
@0076	 	66
@0077	 	65
@0078	 	65
@0079	 	65
@007a	 	65
@007b	 	64
@007c	 	61
@007d	 	5c
@007e	 	55
@007f	 	4e
@0080	 	47
@0081	 	43
@0082	 	44
@0083	 	4b
@0084	 	5a
@0085	 	70
@0086	 	8a
