@0001	 	98
@0002	 	b0
@0003	 	c7
@0004	 	da
@0005	 	ea
@0006	 	f6
@0007	 	fd
@0008	 	ff
@0009	 	fd
@000a	 	f7
@000b	 	ef
@000c	 	e5
@000d	 	da
@000e	 	d1
@000f	 	c7
@0010	 	c0
@0011	 	bb
@0012	 	b7
@0013	 	b5
@0014	 	b4
@0015	 	b4
@0016	 	b5
@0017	 	b6
@0018	 	b8
@0019	 	ba
@001a	 	bc
@001b	 	be
@001c	 	c0
@001d	 	c2
@001e	 	c5
@001f	 	c8
@0020	 	ca
@0021	 	cc
@0022	 	cd
@0023	 	cc
@0024	 	ca
@0025	 	c6
@0026	 	c0
@0027	 	b8
@0028	 	af
@0029	 	a5
@002a	 	9b
@002b	 	92
@002c	 	89
@002d	 	83
@002e	 	80
@002f	 	7f
@0030	 	81
@0031	 	86
@0032	 	8d
@0033	 	96
@0034	 	a0
@0035	 	ab
@0036	 	b5
@0037	 	be
@0038	 	c5
@0039	 	ca
@003a	 	cd
@003b	 	cd
@003c	 	cb
@003d	 	c6
@003e	 	c0
@003f	 	b9
@0040	 	b1
@0041	 	a9
@0042	 	a1
@0043	 	9a
@0044	 	94
@0045	 	8f
@0046	 	8c
@0047	 	8a
@0048	 	8a
@0049	 	8b
@004a	 	8d
@004b	 	90
@004c	 	94
@004d	 	98
@004e	 	9d
@004f	 	a1
@0050	 	a5
@0051	 	a8
@0052	 	aa
@0053	 	ab
@0054	 	ab
@0055	 	ab
@0056	 	a9
@0057	 	a5
@0058	 	a2
@0059	 	9d
@005a	 	99
@005b	 	94
@005c	 	90
@005d	 	8c
@005e	 	89
@005f	 	87
@0060	 	85
@0061	 	85
@0062	 	86
@0063	 	88
@0064	 	8a
@0065	 	8e
@0066	 	92
@0067	 	96
@0068	 	9b
@0069	 	9f
@006a	 	a2
@006b	 	a5
@006c	 	a6
@006d	 	a7
@006e	 	a5
@006f	 	a3
@0070	 	9e
@0071	 	99
@0072	 	92
@0073	 	8a
@0074	 	83
@0075	 	7a
@0076	 	73
@0077	 	6c
@0078	 	67
@0079	 	64
@007a	 	64
@007b	 	65
@007c	 	6a
@007d	 	70
@007e	 	78
@007f	 	82
@0080	 	8c
@0081	 	97
@0082	 	a0
@0083	 	a8
@0084	 	ae
@0085	 	b1
@0086	 	b1
@0087	 	af
@0088	 	aa
@0089	 	a2
@008a	 	99
@008b	 	8f
@008c	 	85
@008d	 	7c
@008e	 	74
@008f	 	6d
@0090	 	68
@0091	 	65
@0092	 	64
@0093	 	64
@0094	 	66
@0095	 	68
@0096	 	6a
@0097	 	6d
@0098	 	70
@0099	 	72
@009a	 	74
@009b	 	76
@009c	 	78
@009d	 	79
@009e	 	7b
@009f	 	7c
@00a0	 	7d
@00a1	 	7c
@00a2	 	7a
@00a3	 	77
@00a4	 	72
@00a5	 	6c
@00a6	 	64
@00a7	 	5a
@00a8	 	50
@00a9	 	46
@00aa	 	3c
@00ab	 	36
@00ac	 	32
@00ad	 	33
@00ae	 	37
@00af	 	41
@00b0	 	4f
@00b1	 	62
@00b2	 	77
@00b3	 	8f
