@0001	 	9a
@0002	 	af
@0003	 	c3
@0004	 	d5
@0005	 	e5
@0006	 	f1
@0007	 	f9
@0008	 	fe
@0009	 	ff
@000a	 	fc
@000b	 	f7
@000c	 	f0
@000d	 	e8
@000e	 	df
@000f	 	d7
@0010	 	d0
@0011	 	ca
@0012	 	c5
@0013	 	c1
@0014	 	bf
@0015	 	be
@0016	 	be
@0017	 	be
@0018	 	bf
@0019	 	bf
@001a	 	bf
@001b	 	bf
@001c	 	bf
@001d	 	bf
@001e	 	bf
@001f	 	bf
@0020	 	c0
@0021	 	c1
@0022	 	c3
@0023	 	c4
@0024	 	c7
@0025	 	c9
@0026	 	cb
@0027	 	cb
@0028	 	cb
@0029	 	ca
@002a	 	c7
@002b	 	c2
@002c	 	bc
@002d	 	b5
@002e	 	ad
@002f	 	a4
@0030	 	9d
@0031	 	95
@0032	 	8f
@0033	 	8a
@0034	 	88
@0035	 	87
@0036	 	89
@0037	 	8d
@0038	 	93
@0039	 	9a
@003a	 	a2
@003b	 	ab
@003c	 	b3
@003d	 	bb
@003e	 	c1
@003f	 	c6
@0040	 	c9
@0041	 	ca
@0042	 	c9
@0043	 	c7
@0044	 	c3
@0045	 	be
@0046	 	b9
@0047	 	b3
@0048	 	ac
@0049	 	a6
@004a	 	a0
@004b	 	9b
@004c	 	97
@004d	 	94
@004e	 	91
@004f	 	90
@0050	 	8f
@0051	 	8f
@0052	 	8f
@0053	 	90
@0054	 	92
@0055	 	94
@0056	 	96
@0057	 	99
@0058	 	9b
@0059	 	9e
@005a	 	a0
@005b	 	a2
@005c	 	a3
@005d	 	a4
@005e	 	a4
@005f	 	a4
@0060	 	a4
@0061	 	a3
@0062	 	a1
@0063	 	9f
@0064	 	9d
@0065	 	9a
@0066	 	97
@0067	 	95
@0068	 	93
@0069	 	91
@006a	 	90
@006b	 	8f
@006c	 	8f
@006d	 	8f
@006e	 	90
@006f	 	92
@0070	 	93
@0071	 	95
@0072	 	98
@0073	 	9a
@0074	 	9d
@0075	 	9f
@0076	 	a1
@0077	 	a3
@0078	 	a4
@0079	 	a4
@007a	 	a5
@007b	 	a4
@007c	 	a2
@007d	 	a0
@007e	 	9d
@007f	 	99
@0080	 	94
@0081	 	8e
@0082	 	88
@0083	 	82
@0084	 	7c
@0085	 	76
@0086	 	71
@0087	 	6d
@0088	 	6a
@0089	 	69
@008a	 	6a
@008b	 	6d
@008c	 	71
@008d	 	77
@008e	 	7f
@008f	 	87
@0090	 	90
@0091	 	97
@0092	 	9f
@0093	 	a5
@0094	 	aa
@0095	 	ac
@0096	 	ac
@0097	 	aa
@0098	 	a6
@0099	 	9f
@009a	 	98
@009b	 	90
@009c	 	88
@009d	 	80
@009e	 	78
@009f	 	72
@00a0	 	6d
@00a1	 	6a
@00a2	 	68
@00a3	 	68
@00a4	 	69
@00a5	 	6a
@00a6	 	6c
@00a7	 	6e
@00a8	 	71
@00a9	 	72
@00aa	 	73
@00ab	 	74
@00ac	 	75
@00ad	 	74
@00ae	 	74
@00af	 	74
@00b0	 	74
@00b1	 	74
@00b2	 	74
@00b3	 	75
@00b4	 	75
@00b5	 	75
@00b6	 	74
@00b7	 	72
@00b8	 	6f
@00b9	 	6b
@00ba	 	65
@00bb	 	5e
@00bc	 	56
@00bd	 	4d
@00be	 	45
@00bf	 	3d
@00c0	 	38
@00c1	 	35
@00c2	 	36
@00c3	 	39
@00c4	 	41
@00c5	 	4c
@00c6	 	5b
@00c7	 	6d
@00c8	 	81
@00c9	 	96
