@0001	 	a0
@0002	 	b2
@0003	 	c3
@0004	 	d3
@0005	 	e2
@0006	 	ed
@0007	 	f6
@0008	 	fb
@0009	 	fe
@000a	 	ff
@000b	 	fc
@000c	 	f8
@000d	 	f3
@000e	 	ee
@000f	 	e8
@0010	 	e2
@0011	 	dd
@0012	 	d9
@0013	 	d6
@0014	 	d5
@0015	 	d4
@0016	 	d4
@0017	 	d4
@0018	 	d5
@0019	 	d5
@001a	 	d6
@001b	 	d5
@001c	 	d5
@001d	 	d3
@001e	 	d1
@001f	 	cf
@0020	 	cc
@0021	 	c9
@0022	 	c7
@0023	 	c5
@0024	 	c3
@0025	 	c2
@0026	 	c2
@0027	 	c3
@0028	 	c4
@0029	 	c7
@002a	 	c9
@002b	 	cc
@002c	 	cf
@002d	 	d2
@002e	 	d5
@002f	 	d8
@0030	 	d9
@0031	 	db
@0032	 	dc
@0033	 	dc
@0034	 	dc
@0035	 	db
@0036	 	da
@0037	 	d8
@0038	 	d6
@0039	 	d4
@003a	 	d2
@003b	 	d0
@003c	 	ce
@003d	 	cb
@003e	 	c9
@003f	 	c7
@0040	 	c5
@0041	 	c4
@0042	 	c2
@0043	 	c1
@0044	 	bf
@0045	 	be
@0046	 	bc
@0047	 	bb
@0048	 	b9
@0049	 	b7
@004a	 	b4
@004b	 	b1
@004c	 	ad
@004d	 	a9
@004e	 	a4
@004f	 	9e
@0050	 	98
@0051	 	93
@0052	 	8e
@0053	 	89
@0054	 	85
@0055	 	83
@0056	 	82
@0057	 	82
@0058	 	84
@0059	 	87
@005a	 	8c
@005b	 	92
@005c	 	99
@005d	 	a1
@005e	 	a9
@005f	 	b0
@0060	 	b7
@0061	 	bc
@0062	 	c1
@0063	 	c4
@0064	 	c5
@0065	 	c5
@0066	 	c4
@0067	 	c1
@0068	 	bd
@0069	 	b9
@006a	 	b5
@006b	 	b1
@006c	 	ad
@006d	 	aa
@006e	 	a7
@006f	 	a4
@0070	 	a2
@0071	 	a0
@0072	 	9e
@0073	 	9d
@0074	 	9b
@0075	 	98
@0076	 	95
@0077	 	92
@0078	 	8e
@0079	 	8a
@007a	 	86
@007b	 	81
@007c	 	7e
@007d	 	7b
@007e	 	7a
@007f	 	79
@0080	 	7b
@0081	 	7e
@0082	 	82
@0083	 	88
@0084	 	8f
@0085	 	96
@0086	 	9e
@0087	 	a6
@0088	 	ad
@0089	 	b3
@008a	 	b8
@008b	 	bb
@008c	 	bd
@008d	 	bd
@008e	 	bc
@008f	 	b9
@0090	 	b6
@0091	 	b1
@0092	 	ac
@0093	 	a6
@0094	 	a1
@0095	 	9b
@0096	 	96
@0097	 	92
@0098	 	8e
@0099	 	8b
@009a	 	88
@009b	 	86
@009c	 	84
@009d	 	82
@009e	 	81
@009f	 	80
@00a0	 	7e
@00a1	 	7d
@00a2	 	7b
@00a3	 	7a
@00a4	 	78
@00a5	 	76
@00a6	 	74
@00a7	 	71
@00a8	 	6f
@00a9	 	6d
@00aa	 	6b
@00ab	 	68
@00ac	 	67
@00ad	 	65
@00ae	 	64
@00af	 	63
@00b0	 	63
@00b1	 	63
@00b2	 	64
@00b3	 	65
@00b4	 	67
@00b5	 	6a
@00b6	 	6d
@00b7	 	70
@00b8	 	73
@00b9	 	76
@00ba	 	78
@00bb	 	7a
@00bc	 	7c
@00bd	 	7d
@00be	 	7c
@00bf	 	7c
@00c0	 	7a
@00c1	 	78
@00c2	 	75
@00c3	 	73
@00c4	 	70
@00c5	 	6e
@00c6	 	6c
@00c7	 	6a
@00c8	 	69
@00c9	 	69
@00ca	 	69
@00cb	 	6a
@00cc	 	6b
@00cd	 	6b
@00ce	 	6b
@00cf	 	6a
@00d0	 	68
@00d1	 	66
@00d2	 	62
@00d3	 	5d
@00d4	 	57
@00d5	 	51
@00d6	 	4c
@00d7	 	46
@00d8	 	43
@00d9	 	41
@00da	 	41
@00db	 	44
@00dc	 	49
@00dd	 	52
@00de	 	5d
@00df	 	6b
@00e0	 	7b
@00e1	 	8d
@00e2	 	a0
