@0001	 	a3
@0002	 	b2
@0003	 	c1
@0004	 	ce
@0005	 	da
@0006	 	e5
@0007	 	ee
@0008	 	f5
@0009	 	fa
@000a	 	fd
@000b	 	ff
@000c	 	fe
@000d	 	fc
@000e	 	f9
@000f	 	f5
@0010	 	f1
@0011	 	ed
@0012	 	e8
@0013	 	e4
@0014	 	e1
@0015	 	de
@0016	 	dc
@0017	 	db
@0018	 	da
@0019	 	da
@001a	 	db
@001b	 	dc
@001c	 	dd
@001d	 	de
@001e	 	df
@001f	 	e0
@0020	 	e1
@0021	 	e1
@0022	 	e0
@0023	 	e0
@0024	 	de
@0025	 	dd
@0026	 	dc
@0027	 	da
@0028	 	d9
@0029	 	d8
@002a	 	d7
@002b	 	d7
@002c	 	d6
@002d	 	d7
@002e	 	d8
@002f	 	d9
@0030	 	da
@0031	 	dc
@0032	 	de
@0033	 	e0
@0034	 	e2
@0035	 	e3
@0036	 	e5
@0037	 	e6
@0038	 	e7
@0039	 	e7
@003a	 	e8
@003b	 	e7
@003c	 	e6
@003d	 	e6
@003e	 	e4
@003f	 	e3
@0040	 	e1
@0041	 	e0
@0042	 	de
@0043	 	dc
@0044	 	db
@0045	 	d9
@0046	 	d7
@0047	 	d6
@0048	 	d5
@0049	 	d4
@004a	 	d3
@004b	 	d2
@004c	 	d2
@004d	 	d1
@004e	 	d0
@004f	 	d0
@0050	 	d0
@0051	 	d0
@0052	 	cf
@0053	 	cf
@0054	 	ce
@0055	 	ce
@0056	 	cd
@0057	 	cb
@0058	 	c9
@0059	 	c7
@005a	 	c4
@005b	 	c1
@005c	 	bd
@005d	 	b9
@005e	 	b4
@005f	 	af
@0060	 	aa
@0061	 	a6
@0062	 	a1
@0063	 	9d
@0064	 	9a
@0065	 	97
@0066	 	96
@0067	 	95
@0068	 	95
@0069	 	97
@006a	 	99
@006b	 	9d
@006c	 	a1
@006d	 	a6
@006e	 	ab
@006f	 	b1
@0070	 	b6
@0071	 	bc
@0072	 	c1
@0073	 	c5
@0074	 	c8
@0075	 	ca
@0076	 	cc
@0077	 	cc
@0078	 	cb
@0079	 	ca
@007a	 	c8
@007b	 	c5
@007c	 	c1
@007d	 	be
@007e	 	ba
@007f	 	b7
@0080	 	b3
@0081	 	b0
@0082	 	ad
@0083	 	aa
@0084	 	a8
@0085	 	a6
@0086	 	a4
@0087	 	a3
@0088	 	a1
@0089	 	9f
@008a	 	9d
@008b	 	9a
@008c	 	98
@008d	 	94
@008e	 	91
@008f	 	8d
@0090	 	8a
@0091	 	86
@0092	 	83
@0093	 	80
@0094	 	7d
@0095	 	7b
@0096	 	7b
@0097	 	7b
@0098	 	7c
@0099	 	7e
@009a	 	81
@009b	 	85
@009c	 	8a
@009d	 	8f
@009e	 	94
@009f	 	9a
@00a0	 	9f
@00a1	 	a4
@00a2	 	a9
@00a3	 	ad
@00a4	 	af
@00a5	 	b1
@00a6	 	b2
@00a7	 	b1
@00a8	 	b0
@00a9	 	ad
@00aa	 	aa
@00ab	 	a6
@00ac	 	a2
@00ad	 	9d
@00ae	 	99
@00af	 	94
@00b0	 	8f
@00b1	 	8b
@00b2	 	87
@00b3	 	83
@00b4	 	80
@00b5	 	7e
@00b6	 	7c
@00b7	 	7a
@00b8	 	79
@00b9	 	78
@00ba	 	78
@00bb	 	77
@00bc	 	77
@00bd	 	77
@00be	 	76
@00bf	 	76
@00c0	 	76
@00c1	 	75
@00c2	 	75
@00c3	 	74
@00c4	 	73
@00c5	 	72
@00c6	 	71
@00c7	 	6f
@00c8	 	6e
@00c9	 	6c
@00ca	 	6b
@00cb	 	69
@00cc	 	67
@00cd	 	66
@00ce	 	64
@00cf	 	63
@00d0	 	61
@00d1	 	60
@00d2	 	60
@00d3	 	5f
@00d4	 	5f
@00d5	 	5f
@00d6	 	60
@00d7	 	61
@00d8	 	63
@00d9	 	64
@00da	 	66
@00db	 	68
@00dc	 	6a
@00dd	 	6c
@00de	 	6d
@00df	 	6f
@00e0	 	6f
@00e1	 	70
@00e2	 	70
@00e3	 	70
@00e4	 	6f
@00e5	 	6e
@00e6	 	6c
@00e7	 	6b
@00e8	 	6a
@00e9	 	68
@00ea	 	67
@00eb	 	66
@00ec	 	66
@00ed	 	66
@00ee	 	66
@00ef	 	67
@00f0	 	68
@00f1	 	69
@00f2	 	6a
@00f3	 	6b
@00f4	 	6c
@00f5	 	6c
@00f6	 	6c
@00f7	 	6b
@00f8	 	69
@00f9	 	67
@00fa	 	63
@00fb	 	5f
@00fc	 	5b
@00fd	 	57
@00fe	 	52
@00ff	 	4e
@0100	 	4b
@0101	 	49
@0102	 	48
@0103	 	49
@0104	 	4b
@0105	 	50
@0106	 	56
@0107	 	5f
@0108	 	69
@0109	 	75
@010a	 	82
@010b	 	90
@010c	 	9f
